"filename", "language", "HTML", "JavaScript", "TypeScript", "JSON", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\app-config.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 9, 19
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\app-routing.module.ts", "TypeScript", 0, 0, 145, 0, 0, 0, 0, 40, 185
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\app.component.html", "HTML", 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\app.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\app.component.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 5, 26
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\app.module.ts", "TypeScript", 0, 0, 65, 0, 0, 0, 2, 7, 74
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\chart\apex-chart\apex-chart.component.html", "HTML", 82, 0, 0, 0, 0, 0, 0, 1, 83
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\chart\apex-chart\apex-chart.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\chart\apex-chart\apex-chart.component.ts", "TypeScript", 0, 0, 316, 0, 0, 0, 3, 7, 326
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\dashboard\dashboard.component.html", "HTML", 195, 0, 0, 0, 0, 0, 0, 1, 196
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\dashboard\dashboard.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\dashboard\dashboard.component.ts", "TypeScript", 0, 0, 355, 0, 0, 0, 4, 21, 380
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\SoldProducts\service\soldservice.ts", "TypeScript", 0, 0, 140, 0, 0, 0, 6, 37, 183
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\SoldProducts\sold-products\sold-products.component.html", "HTML", 90, 0, 0, 0, 0, 0, 0, 16, 106
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\SoldProducts\sold-products\sold-products.component.scss", "SCSS", 0, 0, 0, 0, 26, 0, 13, 12, 51
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\SoldProducts\sold-products\sold-products.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\SoldProducts\sold-products\sold-products.component.ts", "TypeScript", 0, 0, 175, 0, 0, 0, 24, 69, 268
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\SoldProducts\soldproduct-form\soldproduct-form.component.html", "HTML", 112, 0, 0, 0, 0, 0, 3, 27, 142
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\SoldProducts\soldproduct-form\soldproduct-form.component.scss", "SCSS", 0, 0, 0, 0, 68, 0, 1, 23, 92
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\SoldProducts\soldproduct-form\soldproduct-form.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\SoldProducts\soldproduct-form\soldproduct-form.component.ts", "TypeScript", 0, 0, 352, 0, 0, 0, 14, 135, 501
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\Stock\service\models.ts", "TypeScript", 0, 0, 186, 0, 0, 0, 0, 42, 228
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\Stock\service\stockService.ts", "TypeScript", 0, 0, 57, 0, 0, 0, 0, 17, 74
