Date : 2024-05-23 19:16:39
Directory : c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src
Total : 259 files,  64723 codes, 961 comments, 6584 blanks, all 72268 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         10 |     26,216 |          0 |         11 |     26,227 |
| SCSS       |         88 |     18,445 |        369 |      3,798 |     22,612 |
| TypeScript |        105 |      7,328 |        462 |      1,927 |      9,717 |
| XML        |          7 |      6,466 |          3 |        499 |      6,968 |
| HTML       |         48 |      6,182 |        127 |        348 |      6,657 |
| JSON       |          1 |         86 |          0 |          1 |         87 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                      |        259 |     64,723 |        961 |      6,584 |     72,268 |
| . (Files)                                                                                                                                              |          5 |         90 |         69 |         44 |        203 |
| app                                                                                                                                                    |        195 |     14,362 |        645 |      2,587 |     17,594 |
| app (Files)                                                                                                                                            |          6 |        242 |          2 |         63 |        307 |
| app\demo                                                                                                                                               |        132 |     12,508 |        520 |      2,298 |     15,326 |
| app\demo\chart                                                                                                                                         |          3 |        398 |          3 |          9 |        410 |
| app\demo\chart\apex-chart                                                                                                                              |          3 |        398 |          3 |          9 |        410 |
| app\demo\dashboard                                                                                                                                     |          3 |        550 |          4 |         23 |        577 |
| app\demo\extra                                                                                                                                         |         83 |      6,682 |        490 |      2,095 |      9,267 |
| app\demo\extra (Files)                                                                                                                                 |          1 |         20 |          0 |          9 |         29 |
| app\demo\extra\SoldProducts                                                                                                                            |          9 |        999 |         61 |        331 |      1,391 |
| app\demo\extra\SoldProducts\service                                                                                                                    |          1 |        140 |          6 |         37 |        183 |
| app\demo\extra\SoldProducts\sold-products                                                                                                              |          4 |        309 |         37 |        103 |        449 |
| app\demo\extra\SoldProducts\soldproduct-form                                                                                                           |          4 |        550 |         18 |        191 |        759 |
| app\demo\extra\Stock                                                                                                                                   |         10 |        656 |         23 |        179 |        858 |
| app\demo\extra\Stock\service                                                                                                                           |          2 |        243 |          0 |         59 |        302 |
| app\demo\extra\Stock\stock                                                                                                                             |          4 |        210 |         16 |         65 |        291 |
| app\demo\extra\Stock\stock-form                                                                                                                        |          4 |        203 |          7 |         55 |        265 |
| app\demo\extra\cashiers                                                                                                                                |          5 |        319 |          5 |        100 |        424 |
| app\demo\extra\combo                                                                                                                                   |          9 |        742 |         48 |        255 |      1,045 |
| app\demo\extra\combo (Files)                                                                                                                           |          5 |        377 |         21 |        135 |        533 |
| app\demo\extra\combo\combo-form                                                                                                                        |          4 |        365 |         27 |        120 |        512 |
| app\demo\extra\discount                                                                                                                                |          9 |        722 |         32 |        255 |      1,009 |
| app\demo\extra\discount (Files)                                                                                                                        |          1 |         49 |          0 |         24 |         73 |
| app\demo\extra\discount\discount-form                                                                                                                  |          4 |        416 |          5 |        135 |        556 |
| app\demo\extra\discount\discounts                                                                                                                      |          4 |        257 |         27 |         96 |        380 |
| app\demo\extra\establishments                                                                                                                          |         10 |        818 |         40 |        233 |      1,091 |
| app\demo\extra\establishments (Files)                                                                                                                  |          4 |        224 |         10 |         51 |        285 |
| app\demo\extra\establishments\Service                                                                                                                  |          2 |        110 |          3 |         49 |        162 |
| app\demo\extra\establishments\addestab                                                                                                                 |          4 |        484 |         27 |        133 |        644 |
| app\demo\extra\payment                                                                                                                                 |         12 |        839 |         24 |        241 |      1,104 |
| app\demo\extra\payment (Files)                                                                                                                         |          7 |        513 |         21 |        152 |        686 |
| app\demo\extra\payment\clients                                                                                                                         |          5 |        326 |          3 |         89 |        418 |
| app\demo\extra\pos                                                                                                                                     |          9 |      1,128 |        191 |        365 |      1,684 |
| app\demo\extra\pos (Files)                                                                                                                             |          5 |      1,010 |        191 |        338 |      1,539 |
| app\demo\extra\pos\open-orders                                                                                                                         |          4 |        118 |          0 |         27 |        145 |
| app\demo\extra\sample-page                                                                                                                             |          3 |         17 |          0 |          5 |         22 |
| app\demo\extra\session                                                                                                                                 |          6 |        422 |         66 |        122 |        610 |
| app\demo\pages                                                                                                                                         |         23 |      2,345 |          7 |        133 |      2,485 |
| app\demo\pages\authentication                                                                                                                          |         13 |        433 |          7 |        106 |        546 |
| app\demo\pages\authentication (Files)                                                                                                                  |          2 |         30 |          0 |          6 |         36 |
| app\demo\pages\authentication\auth-signin                                                                                                              |          4 |        245 |          6 |         63 |        314 |
| app\demo\pages\authentication\auth-signup                                                                                                              |          3 |         89 |          0 |         19 |        108 |
| app\demo\pages\authentication\forgot-password                                                                                                          |          4 |         69 |          1 |         18 |         88 |
| app\demo\pages\form-elements                                                                                                                           |          5 |      1,354 |          0 |         17 |      1,371 |
| app\demo\pages\form-elements (Files)                                                                                                                   |          2 |         27 |          0 |          6 |         33 |
| app\demo\pages\form-elements\basic-elements                                                                                                            |          3 |      1,327 |          0 |         11 |      1,338 |
| app\demo\pages\tables                                                                                                                                  |          5 |        558 |          0 |         10 |        568 |
| app\demo\pages\tables (Files)                                                                                                                          |          2 |         26 |          0 |          6 |         32 |
| app\demo\pages\tables\tbl-bootstrap                                                                                                                    |          3 |        532 |          0 |          4 |        536 |
| app\demo\ui-elements                                                                                                                                   |         20 |      2,533 |         16 |         38 |      2,587 |
| app\demo\ui-elements\ui-basic                                                                                                                          |         20 |      2,533 |         16 |         38 |      2,587 |
| app\demo\ui-elements\ui-basic (Files)                                                                                                                  |          2 |         50 |          0 |          6 |         56 |
| app\demo\ui-elements\ui-basic\basic-badge                                                                                                              |          3 |         80 |          0 |          4 |         84 |
| app\demo\ui-elements\ui-basic\basic-button                                                                                                             |          3 |      1,386 |          4 |          4 |      1,394 |
| app\demo\ui-elements\ui-basic\basic-collapse                                                                                                           |          3 |        219 |          9 |          9 |        237 |
| app\demo\ui-elements\ui-basic\basic-tabs-pills                                                                                                         |          3 |        246 |          1 |          4 |        251 |
| app\demo\ui-elements\ui-basic\basic-typography                                                                                                         |          3 |        232 |          0 |          7 |        239 |
| app\demo\ui-elements\ui-basic\breadcrumb-paging                                                                                                        |          3 |        320 |          2 |          4 |        326 |
| app\guard                                                                                                                                              |          3 |         66 |         10 |         20 |         96 |
| app\init                                                                                                                                               |          1 |         17 |          0 |          1 |         18 |
| app\theme                                                                                                                                              |         53 |      1,529 |        113 |        205 |      1,847 |
| app\theme\layout                                                                                                                                       |         40 |        966 |         97 |        147 |      1,210 |
| app\theme\layout\admin                                                                                                                                 |         37 |        958 |         96 |        143 |      1,197 |
| app\theme\layout\admin (Files)                                                                                                                         |          3 |         66 |          4 |          8 |         78 |
| app\theme\layout\admin\configuration                                                                                                                   |          3 |          7 |          0 |          5 |         12 |
| app\theme\layout\admin\nav-bar                                                                                                                         |         12 |        202 |         46 |         50 |        298 |
| app\theme\layout\admin\nav-bar (Files)                                                                                                                 |          3 |         49 |          3 |          5 |         57 |
| app\theme\layout\admin\nav-bar\nav-left                                                                                                                |          6 |         41 |         39 |         11 |         91 |
| app\theme\layout\admin\nav-bar\nav-left (Files)                                                                                                        |          3 |          7 |         12 |          4 |         23 |
| app\theme\layout\admin\nav-bar\nav-left\nav-search                                                                                                     |          3 |         34 |         27 |          7 |         68 |
| app\theme\layout\admin\nav-bar\nav-right                                                                                                               |          3 |        112 |          4 |         34 |        150 |
| app\theme\layout\admin\navigation                                                                                                                      |         19 |        683 |         46 |         80 |        809 |
| app\theme\layout\admin\navigation (Files)                                                                                                              |          4 |        317 |         21 |         30 |        368 |
| app\theme\layout\admin\navigation\nav-content                                                                                                          |         12 |        333 |         22 |         45 |        400 |
| app\theme\layout\admin\navigation\nav-content (Files)                                                                                                  |          3 |        119 |          9 |         23 |        151 |
| app\theme\layout\admin\navigation\nav-content\nav-collapse                                                                                             |          3 |         82 |          4 |          7 |         93 |
