"filename", "language", "TypeScript", "JSON", "HTML", "JavaScript", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\app-config.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 9, 19
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\app-routing.module.ts", "TypeScript", 149, 0, 0, 0, 0, 0, 0, 41, 190
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\app.component.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\app.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\app.component.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\app.module.ts", "TypeScript", 65, 0, 0, 0, 0, 0, 2, 7, 74
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\chart\apex-chart\apex-chart.component.html", "HTML", 0, 0, 82, 0, 0, 0, 0, 1, 83
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\chart\apex-chart\apex-chart.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\chart\apex-chart\apex-chart.component.ts", "TypeScript", 316, 0, 0, 0, 0, 0, 3, 7, 326
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\dashboard\dashboard.component.html", "HTML", 0, 0, 195, 0, 0, 0, 0, 1, 196
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\dashboard\dashboard.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\dashboard\dashboard.component.ts", "TypeScript", 355, 0, 0, 0, 0, 0, 4, 21, 380
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\SoldProducts\service\soldservice.ts", "TypeScript", 140, 0, 0, 0, 0, 0, 6, 37, 183
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\SoldProducts\sold-products\sold-products.component.html", "HTML", 0, 0, 90, 0, 0, 0, 0, 16, 106
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\SoldProducts\sold-products\sold-products.component.scss", "SCSS", 0, 0, 0, 0, 26, 0, 13, 12, 51
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\SoldProducts\sold-products\sold-products.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\SoldProducts\sold-products\sold-products.component.ts", "TypeScript", 175, 0, 0, 0, 0, 0, 24, 69, 268
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\SoldProducts\soldproduct-form\soldproduct-form.component.html", "HTML", 0, 0, 112, 0, 0, 0, 3, 27, 142
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\SoldProducts\soldproduct-form\soldproduct-form.component.scss", "SCSS", 0, 0, 0, 0, 68, 0, 1, 23, 92
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\SoldProducts\soldproduct-form\soldproduct-form.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\SoldProducts\soldproduct-form\soldproduct-form.component.ts", "TypeScript", 355, 0, 0, 0, 0, 0, 14, 137, 506
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\Stock\service\models.ts", "TypeScript", 188, 0, 0, 0, 0, 0, 0, 42, 230
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\Stock\service\stockService.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 19, 80
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\Stock\stock-form\stock-form.component.html", "HTML", 0, 0, 50, 0, 0, 0, 4, 7, 61
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\Stock\stock-form\stock-form.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\Stock\stock-form\stock-form.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\Stock\stock-form\stock-form.component.ts", "TypeScript", 135, 0, 0, 0, 0, 0, 3, 41, 179
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\Stock\stock\stock.component.html", "HTML", 0, 0, 46, 0, 0, 0, 0, 7, 53
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\Stock\stock\stock.component.scss", "SCSS", 0, 0, 0, 0, 30, 0, 13, 9, 52
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\Stock\stock\stock.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\Stock\stock\stock.component.ts", "TypeScript", 116, 0, 0, 0, 0, 0, 3, 43, 162
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\cashiers\cashiers.component.html", "HTML", 0, 0, 74, 0, 0, 0, 0, 13, 87
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\cashiers\cashiers.component.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\cashiers\cashiers.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\cashiers\cashiers.component.ts", "TypeScript", 123, 0, 0, 0, 0, 0, 3, 46, 172
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\cashiers\userService.ts", "TypeScript", 94, 0, 0, 0, 0, 0, 2, 35, 131
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\combo\combo-form\combo-form.component.html", "HTML", 0, 0, 75, 0, 0, 0, 18, 29, 122
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\combo\combo-form\combo-form.component.scss", "SCSS", 0, 0, 0, 0, 43, 0, 0, 12, 55
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\combo\combo-form\combo-form.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\combo\combo-form\combo-form.component.ts", "TypeScript", 231, 0, 0, 0, 0, 0, 9, 75, 315
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\combo\combo.component.html", "HTML", 0, 0, 97, 0, 0, 0, 0, 37, 134
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\extra\combo\combo.component.scss", "SCSS", 0, 0, 0, 0, 26, 0, 11, 9, 46
